Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
04/02/2022	1,2		15,6	60	1007	127	0	7	6	3	0,1	9	35	21	50	40
05/02/2022	1,6	136	13,7	80	1011	83	0,1	9	8	3	0,1	3	17	14	21	55
06/02/2022	1,1	81	12,7	84	1015	79	0	5	5	3	0,1	3	12	6	16	51
07/02/2022	1,5	263	10,9	89	1014	157	0	9	8	3	0,1	6	19	14	29	34
08/02/2022	1,8	232	11	80	1018	152	0	5	5	3	0,1	4	15	8	22	49
09/02/2022	1,6	317	11,4	80	1018	69	0	5	5	3	0,1	3	16	11	21	56
10/02/2022	1,3	194	12,1	77	1015	105	0	3	2	3	0,1	4	15	11	20	66
11/02/2022	1,6	237	10,3	84	1013	130	0	6	5	3	0,1	6	15	11	24	58
12/02/2022	2	224	10,7	82	1013	144	0	9	8	3	0,1	3	15	15	19	62
13/02/2022	2,2	234	10,9	85	1009	152	0	7	6	3	0,1	2	11	9	15	64
14/02/2022	4		14	56	1005	174	0	5	4	3	0,1	7	19	21	30	55
15/02/2022	2,4		14,3	40	1012	175	0	2	1	3	0,1	3	15	12	20	68
16/02/2022	2,6		16,4	42	1012	171	0	2	1	3	0,1	3	14	24	19	70
17/02/2022	2,1		15,8	56	1011	189	0	3	2	3	0,1	3	19	17	23	59
18/02/2022	1,3	163	13,8	67	1005	190	0	7	6	3	0,1	7	35	23	45	45
19/02/2022	3,2	104	13,8	73	1006	118	0	6	5	3	0,1	2	11	13	14	75
20/02/2022	1,6	214	12,6	76	1015	154	0	3	2	3	0,1	2	8	7	11	64
21/02/2022	1,3	182	13,8	65	1012	189	0	4	3	3	0,1	7	25	24	35	45
22/02/2022	1,6		13,1	53	1014	199	0	3	2	3	0,1	4	20	18	27	57
23/02/2022	1,9		12,3	60	1012	155	0	3	2	3	0,1	5	20	16	27	59
24/02/2022	2,1		12,9	71	1008	193	0	3	2	3	0,1	3	10	12	15	73
25/02/2022	2,9	82	13,8	75	1011	67	0	3	3	3	0,1	3	13	10	17	71
26/02/2022	3	108	12,9	73	1010	114	0	3	2	3	0,1	2	6	7	9	83
27/02/2022	1,9	135	11,5	72	1010	91	0,9	3	2	3	0,1	2	10	6	13	70
28/02/2022	1,8	199	11,7	70	1014	192	0	2	2	3	0,1	3	12	7	17	67
01/03/2022	1,3	200	11,8	78	1013	210	0	4	3	3	0,1	5	17	12	25	62
02/03/2022	2	203	13,1	76	1009	197	0	7	5	3	0,1	4	23	17	29	61
03/03/2022	1,9	132	13,6	74	1003	150	0,8	4	3	3	0,1	4	15	13	22	70
04/03/2022	2,8	27	12,2	86	1000	39	12,7	3	3	3	0,1	3	14	5	19	69
05/03/2022	1,6	185	11,7	81	1003	115	0	4	4	3	0,1	3	11	6	16	51
06/03/2022	2,8	52	11,4	89	1000	68	3,1	2	2	3	0,1	2	5	2	8	78
07/03/2022	1,7	21	11,1	92	1001	82	3	2	2	3	0,1	3	15	2	20	63
08/03/2022	1,7	317	11,1	89	1005	124	1,7	5	4	3	0,1	4	18	7	24	48
09/03/2022	1,8	26	11,6	84	1009	180	0,1	6	5	3	0,1	4	18	8	25	54
10/03/2022	1,7	206	12	84	1008	199	0	4	3	3	0,1	4	15	9	20	62
11/03/2022	1,6	210	12,9	89	1004	145	4,8	9	9	3	0,1	4	14	13	20	63
12/03/2022	3,9	200	15,4	64	1001	225	0,3	2	2	3	0,1	2	8	5	12	70
13/03/2022	2	170	15	68	1001	169	0	2	2	3	0,1	2	9	5	13	62
14/03/2022	6,6	85	16,9	64	998	63	0,6	15	8	3	0,1	2	5	180	9	90
15/03/2022	4,6	111	20,5	42	1001	36	0	23	11	3	0,1	2	9	273	13	76
16/03/2022	3,8	110	16,4	72	999	8	5,6	8	6	3	0,1	2	11	50	15	66
17/03/2022	2,5	28	13,8	87	1002	29	9,2	4	4	3	0,1	2	9	8	12	73
18/03/2022	2	36	13,9	76	1008	72	0,2	4	4	3	0,1	3	10	8	14	75
19/03/2022	1,6	73	13,8	80	1010	99	0	6	5	3	0,1	2	7	14	10	76
20/03/2022	3,7	77	14,4	86	1010	173	0,1	7	6	3	0,1	2	2	11	5	88
21/03/2022	3,7	59	14	97	1008	57	6,9	6	5	3	0,1	2	5	9	8	84
22/03/2022	5	47	12,2	99	1010	14	3	5	4	3	0,1	2	4	6	7	93
23/03/2022	5,8	41	12,1	97	1007	20	8,6	4	3	3	0,1	2	5	4	8	90
24/03/2022	5,8	62	14,8	86	1006	132	0,2	9	7	3	0,1	2	4	18	7	91
25/03/2022	5,1	73	14,7	80	1002	54	0	8	7	3	0,1	2	5	19	8	98
26/03/2022	2,6	53	13,7	84	1003	57	1,9	5	4	3	0,1	2	5	9	8	92
27/03/2022	1,7	56	14,3	74	1010	128	0,1	5	4	3	0,1	2	5	11	8	87
28/03/2022	2,8	4	13,2	79	1008	170	0	10	8	3	0,1	4	10	37	16	66
29/03/2022	2,2	169	14,9	71	994	142	0	11	8	3	0,1	3	12	46	17	67
30/03/2022	1,1	30	13,1	91	989	52	13,7	12	10	3	0,1	4	17	31	23	58
31/03/2022	4,5		15	59	990	169	0,1	3	2	3	0,1	3	8	8	12	73
01/04/2022	4		14,3	47	997	257	0	2	1	3	0,1	3	10	7	14	74
02/04/2022	2,9		11,5	43	1003	288	0	1	1	3	0,1	2	4	3	7	85
03/04/2022	3		9,8	51	1001	261	0	1	1	3	0,1	2	3	5	6	87
04/04/2022	5,6	69	10,2	70	1000	58	0,1	2	2	3	0,1	2	4	4	8	92
05/04/2022	2,1	34	10	89	998	23	15	2	2	3	0,1	3	11	2	14	82
06/04/2022	2,1	312	12,6	70	1001	185	0,8	2	2	3	0,1	4	11	4	17	76
07/04/2022	3,3	245	18,5	49	1005	287	0	2	2	3	0,1	3	10	10	14	80
08/04/2022	4	196	20,3	45	1003	275	0	2	1	3	0,1	3	10	15	14	63
09/04/2022	2,6	134	19	61	1003	222	0	2	2	3	0,1	2	9	7	12	67
10/04/2022	2,6	92	15,6	83	1004	263	0	4	3	3	0,1	2	5	6	8	73
11/04/2022	2,7	32	15,4	75	997	246	0	4	3	3	0,1	3	9	15	14	65
12/04/2022	0,9	212	15	90	997	27	1	5	4	3		2	9	19	13	69
13/04/2022	1	77	14,4	93	997	111	14	4	3	3		4	10	5	15	69
14/04/2022	5,3	93	16,6	61	1002	186	0,9	2	2	3		2	3	3	6	98
15/04/2022	2,4	142	19,1	49	1006	238	0	3	2	3		2	5	9	7	108
16/04/2022	1,6	209	19,2	60	1005	282	0	4	3	3		3	10	16	14	78
17/04/2022	1,5	163	18,2	69	1003	293	0	5	4	3		3	9	12	12	81
18/04/2022	1	141	18,1	64	1002	273	0,1	4	4	3		2	7	11	11	97
19/04/2022	1,7	130	16,9	81	996	281	0	6	5	3		3	9	11	13	99
20/04/2022	4	338	12,4	85	989	94	11,1	3	3	3		2	7	4	11	75
21/04/2022	3,3		16,3	53	992	204	0,1	1	1	3		3	8	5	11	77
22/04/2022	1,4		15,1	67	990	135	0	3	3	3	0,1	5	16	14	24	55
23/04/2022	5,1		15,8	53	991	251	0,1	1	1	3	0,1	2	3	2	5	80
24/04/2022	2,6		16,6	57	999	320	0	1	1	3	0,1	2	4	3	6	81
25/04/2022	1,4	100	15,1	75	1000	314	0	3	2	3	0,1	3	7	6	11	68
26/04/2022	2	139	15,5	64	1001	221	0	2	2	3	0,1	2	8	7	11	74
27/04/2022	1,6	273	15,3	75	1004	57	0,7	4	4	3	0,1	2	18	13	22	48
28/04/2022	0,9	20	14,1	94	1006	24	6,9	4	4	3	0,1	2	11	5	14	50
29/04/2022	2,2	76	17	70	1009	291	0	5	4	3	0,1	2	9	10	13	79
30/04/2022	1,6	140	18,6	62	1008	298	0	4	4	3	0,1	2	12	9	15	85
01/05/2022	1,5	111	18,5	69	1004	263	0	6	5	3	0,1	2	7	11	9	82
02/05/2022	1,9	80	17,6	81	999	242	0	8	7	3	0,1	2	8	18	11	88
03/05/2022	1,7	327	16,4	82	998	209	0,1	4	4	3	0,1	2	9	7	12	73
04/05/2022	2,6	32	14,6	91	1001	26	24,4	4	4	3	0,1	2	10	5	12	73
05/05/2022	3,3	61	17,7	63	1007	226	0	3	3	3	0,1	2	5	7	7	81
06/05/2022	1,7	61	16,7	76	1007	317	0	6	6	3	0,1	4	11	13	16	69
07/05/2022	1,7	116	17,7	67	1007	318	0	5	4	3	0,1	2	9	8	12	72
08/05/2022	1,8	198	18,1	61	1007	319	0	3	3	3	0,1	2	7	8	9	78
09/05/2022	1,7	176	18,5	59	1009	325	0	2	2	3	0,1	3	8	8	12	84
10/05/2022	1,6	184	18,1	63	1010	326	0	3	3	3	0,1	2	8	9	12	81
11/05/2022	1,7	179	18,3	67	1008	329	0	4	4	3	0,1	2	7	13	11	73
12/05/2022	2	226	18,7	72	1007	332	0	6	5	3	0,1	2	8	17	11	74
13/05/2022	1,5	92	19,1	79	1008	314	0	8	7	3	0,1	3	13	16	17	71
14/05/2022	1,4	139	20,3	61	1005	318	0,1	4	3	3	0,1	2	10	13	13	72
15/05/2022	1,3	194	20,2	68	1004	310	0	6	5	3	0,1	2	6	16	8	84
16/05/2022	1,1	114	21,2	75	1006	303	0	9	8	3	0,1	3	12	24	16	68
17/05/2022	1,1	176	21,5	76	1006	315	0	8	7	3	0,1	3	13	22	17	62
18/05/2022	1	106	22,6	73	1005	322	0	8	6	3	0,1	2	12	22	16	59
19/05/2022	2,5		23,1	57	1007	323	0	5	4	3	0,1	3	10	29	14	69
20/05/2022	2,7		24,6	52	1009	317	0	4	3	3	0,1	2	9	23	12	80
21/05/2022	2,3		23,2	53	1007	328	0	3	3	3	0,1	2	8	15	11	80
22/05/2022	1,4		23,3	54	999	265	0	4	3	3	0,1	2	10	16	13	87
23/05/2022	2,2		26	53	995	325	0	4	3	3	0,1	2	6	31	9	83
24/05/2022	2	146	21,8	81	995	281	0	9	8	3	0,1	2	6	24	9	82
25/05/2022	2,7	176	19,6	58	1004	320	0	1	1	3	0,1	2	3	7	6	79
26/05/2022	1,9	178	19,8	59	1009	333	0	2	1	3	0,1	2	7	10	10	73
27/05/2022	1,4	179	21,4	62	1006	331	0	2	1	3	0,1	3	12	21	17	74
28/05/2022	1,7	183	22,9	56	1000	330	0	3	2	3	0,1	2	12	17	15	75
29/05/2022	2,3		26,3	53	986	314	2,6	5	3	3	0,1	1	5	30	7	82
30/05/2022							0			3		2	8		10	
31/05/2022	1,3	94	22,4	79	1000	320	0	8	7	3	0,1	2	8	24	11	86
01/06/2022	1,4	122	22	83	1001	320	0	9	8	3	0,1	2	8	19	12	69
02/06/2022	1,4	102	22,1	81	999	293	0	9	8	3	0,1	3	12	19	16	64
03/06/2022	1,3	92	23	84	1000	316	0	8	7	3	0,1	2	6	18	8	70
04/06/2022	1,5	105	22,7	75	1001	330	0	5	4	3	0,1	2	7	17	10	74
05/06/2022	1,8	115	25,2	51	1005	321	0	3	2	3	0,1	2	7	18	10	70
06/06/2022	1,7	125	23,5	60	1005	337	0	4	3	3	0,1	2	9	24	12	75
07/06/2022	1,6	126	23,8	64	1003	329	0	4	3	3	0,1	2	10	22	13	76
08/06/2022	1,2	135	24,3	66	1000	277	0	5	4	3	0,1	3	17	31	21	76
09/06/2022	2	61	24,6	78	1004	325	0	6	5	3	0,1	2	6	16	9	61
10/06/2022	1,7	114	23	81	1007	312	0	5	4	3	0,1	3	7	16	11	48
11/06/2022	1,6	44	23,8	66	1007	339	0	3	2	3	0,1	2	9	18	12	52
12/06/2022	1,5	45	24,7	47	1007	329	0	2	1	3	0,1	2	6	13	8	71
13/06/2022	1,9	37	25,4	48	1004	321	0	2	1	3	0,1	2	12	22	16	64
14/06/2022	1,9	40	26,2	55	1002	312	0	3	2	3	0,1	3	10	22	14	74
15/06/2022	1,8	40	28	55	1003	291	0	3	2	3	0,1	3	13	25	17	72
16/06/2022	1,8	20	28	42	1005	312	0	3	2	3	0,1	3	13	29	17	68
17/06/2022	1,6	27	29,1	34	1005	325	0	3	1	3	0,1	3	15	31	19	61
18/06/2022	2	42	28,7	38	1002	323	0	3	2	3	0,1	2	9	24	12	77
19/06/2022	1,5	132	25,6	69	997	302	0	7	6	3	0,1	1	5	24	8	81
20/06/2022	1,6	87	25,1	81	997	254	0	9	6	3	0,1	2	8	28	11	58
21/06/2022	1,8	33	25,1	82	997	167	5,2	8	6	3	0,1	2	10	32	14	52
22/06/2022	2,1	170	24,7	70	997	326	0,1	5	4	3	0,1	3	12	17	16	59
23/06/2022	2,5	201	24,1	61	1000	342	0	3	2	3	0,1	2	9	16	12	65
24/06/2022	2	171	24,9	54	1000	334	0	3	2	3	0,1	2	10	9	12	67
25/06/2022	1,5	116	22,9	70	998	341	0	4	3	3	0,1	2	8	18	11	75
26/06/2022	1,8	101	22,4	83	996	313	0	5	4	3	0,1	1	5	13	7	73
27/06/2022	1,9	71	23,4	83	1000	297	0	6	4	3	0,1	2	4	18	6	76
28/06/2022	1,7	163	23,9	76	1004	334	0	5	3	3	0,1	2	6	16	9	60
29/06/2022	1,7	176	24,1	71	1001	331	0	4	3	3	0,1	2	5	18	8	61
30/06/2022	1,8	171	23,2	80	998	327	0	6	5	3	0,1	2	6	18	9	65
01/07/2022	2,9	50	24,9	77	1003	297	0	6	5	3	0,1	1	3	21	5	74
02/07/2022	2,7	44	25,9	65	1004	304	0	4	3	3	0,1	1	3	19	5	73
03/07/2022	1,4	142	26,1	69	1004	286	0	3	3	3	0,1	1	3	12	5	79
04/07/2022	1,3	123	26,4	78	1003	294	0	8	7	3	0,1	2	7	22	9	69
05/07/2022	2,1	78	26,1	86	1004	205	0	12	10	3	0,1	2	5	26	7	54
06/07/2022	3,3	47	26,9	76	1005	296	0	8	6	3	0,1	1	3	30	6	79
07/07/2022	1,8	51	25,8	68	1008	315	0	4	3	3	0,1	2	7	23	10	80
08/07/2022	1,7	144	25,1	66	1009	327	0	3	3	3	0,1	2	8	19	11	77
09/07/2022	2	42	25,8	63	1008	330	0	3	2	3	0,1	1	6	13	8	82
10/07/2022	1,7	85	25,8	64	1004	329	0	3	2	3	0,1	2	4	11	6	87
11/07/2022	1,9	38	27,2	41	1003	326	0	2	1	3	0,1	2	7	21	10	81
12/07/2022	1,9	35	27,6	42	1006	329	0	2	1	3	0,1	2	8	20	11	81
13/07/2022	1,8	79	27,7	42	1007	332	0	2	1	3	0,1	2	11	15	14	74
14/07/2022	1,8	123	27,5	47	1005	316	0	2	2	3	0,1	2	10	14	14	69
15/07/2022	1,7	77	27,5	44	1003	326	0	3	2	3	0,1	2	12	20	15	64
16/07/2022	1,6	240	28,3	43	1003	320	0	2	2	3	0,1	2	8	14	11	76
17/07/2022	1,7	43	27,8	49	1004	325	0	3	2	3	0,1	1	5	13	7	86
18/07/2022	2	38	27,7	50	1004	325	0	4	3	3	0,1	2	8	26	12	86
19/07/2022	1,7	87	27,8	55	1003	315	0	5	4	3	0,1	2	8	18	11	74
20/07/2022	2,2	51	26,7	70	1004	313	0	10	9	3	0,1	3	7	21	11	53
21/07/2022	2,2	20	27,9	64	1005	320	0	6	5	3	0,1	2	6	23	9	59
22/07/2022	1,6	126	27,3	61	1003	316	0	6	5	3	0,1	2	9	22	13	60
23/07/2022	1,4	116	27,3	64	1004	307	0	10	9	3	0,1	2	6	22	8	54
24/07/2022	1,6	161	27,7	61	1004	314	0	8	7	3	0,1	2	8	19	11	55
25/07/2022	1,4	89	30,5	57	1001	302	0	11	9	3	0,1	3	17	48	22	65
26/07/2022	2,1	83	28,7	81	1001	265	0	19	18	3	0,1	1	3	29	6	63
27/07/2022	1,7	82	27,8	80	1000	215	0	13	11	3	0,1	1	3	30	5	51
28/07/2022	1,6	110	27,6	78	999	279	0	14	12	3	0,1	2	4	25	7	55
29/07/2022	1,8	75	28,3	77	1001	276	0	15	14	3	0,1	1	2	28	4	63
30/07/2022	2,5	52	28,1	76	1004	258	0	8	7	3	0,1	1	3	20	5	57
31/07/2022	2,6	38	28,1	72	1004	291	0	6	5	3	0,1	1	3	16	5	72
01/08/2022	1,5	77	27,8	73	1003	303	0	5	4	3	0,1	2	6	13	8	73
02/08/2022	1,8	164	28,1	57	1002	307	0	2	2	3	0,1	3	12	13	17	64
03/08/2022	1,8	111	28,2	48	1001	311	0	2	1	3	0,1	2	10	13	13	71
04/08/2022	1,7	39	28,2	49	1001	296	0	2	1	3	0,1	2	8	14	11	73
05/08/2022	2,1	39	27,7	54	1002	307	0	2	1	3	0,1	2	8	9	11	70
06/08/2022	2	43	27,6	51	1003	304	0	2	1	3	0,1	2	6	9	8	73
07/08/2022	1,9	91	27,3	60	1002	307	0	3	3	3	0,1	1	5	9	6	66
08/08/2022	1,9	47	26,9	69	1002	305	0	7	6	3	0,1	2	6	15	9	67
09/08/2022	2,4	35	28,1	61	1003	300	0	6	5	3	0,1	2	8	19	10	75
10/08/2022	2,7	31	28,5	55	1002	288	0	3	2	3	0,1	2	8	21	11	78
11/08/2022	2,5	21	28,1	52	1002	296	0	4	3	3	0,1	2	7	24	9	77
12/08/2022	2	177	28,4	50	1001	273	0			3	0,1	3	12		16	73
13/08/2022	5,1	318	34,8	29	998	196	0			3	0,1	2	5		8	80
14/08/2022	1,8	211	29,9	46	995	215	0			3	0,1	2	5		8	69
15/08/2022	2,3	76	28,6	59	994	294	0			3	0,1	2	7		9	82
16/08/2022	1,8	89	26,5	63	994	275	0			3	0,1	2	10		12	80
17/08/2022	2	81	26,5	69	994	277	0,1			3	0,1	2	9		13	80
18/08/2022	2,4	49	25,7	62	1001	238	0			3	0,1	1	6		8	81
19/08/2022	2,2	215	25,5	69	1005	287	0			3	0,1	2	6		8	75
20/08/2022	1,7	176	25,6	70	1005	285	0	2	1	3	0,1	2	4	8	6	70
21/08/2022	1,8	179	26,3	73	1001	272	0	3	2	3	0,1	2	6	12	9	67
22/08/2022	2	52	26,8	79	1000	255	0	3	2	3	0,1	2	5	10	7	72
23/08/2022	1,4	18	26,1	78	1001	205	0	2	1	3	0,1	2	6	8	8	46
24/08/2022	1,9	64	26,8	68	1001	260	0	2	1	3	0,1	2	6	8	9	48
25/08/2022	1,8	58	27,2	73	1001	245	0	3	2	3	0,1	2	6	11	9	54
26/08/2022	2,9	25	27,1	70	1000	267	0	2	1	3	0,1	2	4	11	6	63
27/08/2022	2	45	26,5	69	998	257	0	2	1	3	0,1	1	3	7	5	81
28/08/2022	2,6	30	26,9	74	1000	264	0	3	2	3	0,1	1	4	7	6	81
29/08/2022	1,7	34	27	69	1002	184	0	3	2	3	0,1	2	6	15	8	71
30/08/2022	1,9	330	27,5	75	1003	197	0	7	5	3	0,1	2	9	22	12	53
31/08/2022	3	217	28,4	63	1003	217	0,2	4	3	3	0,1	3	10	19	14	58
01/09/2022	1,8	56	26,7	79	1000	208	0	9	7	3	0,1	2	8	24	11	61
02/09/2022							0									
05/09/2022							0									
06/09/2022	1,7	96	25,5	69	1003	241	0	3	3	3	0,1	3	12	14	16	67
07/09/2022	1,6	42	26,4	52	1000	245	0	2	2	3	0,1	3	15	23	19	70
08/09/2022	1,6	10	27,2	52	1001	246	0	3	2	3	0,1	3	11	23	16	70
09/09/2022	1,7	37	25,8	62	1003	249	0	3	2	3	0,1	3	11	21	15	68
10/09/2022	1,7	46	25,7	68	1005	235	0	2	2	3	0,1	2	7	11	9	62
11/09/2022	1,7	43	25,3	77	1002	241	0	3	2	3	0,1	2	4	8	6	56
12/09/2022	2,1	37	26,9	73	998	200	0	3	2	3	0,1	3	9	21	13	52
13/09/2022	2,2	60	27,5	83	997	46	0			3	0,1	2	5		8	53
14/09/2022	1,4	276	26,6	74	997	74	0			3	0,1	3	8		12	38
15/09/2022	2,2	232	25,6	58	999	209	0	3	2	4	0,1	3	10	17	14	61
16/09/2022	2	29	25,6	67	999	234	0	2	1	3	0,1	2	9	14	11	66
17/09/2022	2,9	28	24,4	76	999	190	0	3	2	4	0,1	2	6	9	9	67
18/09/2022	4,3	47	24,5	77	1001	177	1	2	2	3	0,1	2	2	6	5	77
19/09/2022	2,3	24	23,8	71	1002	213	0,4	3	2	4	0,1	2	7	8	11	64
20/09/2022	1,6	29	23,4	76	1004	215	0,1	3	2	3	0,1	2	8	7	11	55
21/09/2022	1,2	6	23,2	77	1004	78	0	2	2	3	0,1	3	10	6	14	55
22/09/2022	1,9	323	22,7	78	1004	170	1	3	2	3	0,1	4	13	7	19	51
23/09/2022	2,3	267	22,4	82	1004	174	0	3	3	3	0,1	2	7	5	10	58
24/09/2022	1,8	334	22,9	78	998	179	3,6	3	3	3	0,1	2	10	6	13	58
25/09/2022	2,6	26	22,3	80	997	103	0,8	2	2	3	0,1	2	4	4	7	60
26/09/2022	2,5	4	21,1	76	999	193	0,3	1	1	3	0,1	2	6	4	9	64
27/09/2022	7,2	283	22,7	52	1000	227	0	4	2	4	0,1	2	7	10	10	57
28/09/2022	3,9	281	23,7	42	997	221	0	2	1	3	0,1	2	9	16	13	60
29/09/2022	4,4	276	22,7	45	993	132	0,7	1	1	3	0,1	2	5	11	8	59
30/09/2022	2,8	312	19,5	57	999	214	0	1	1	3	0,1	2	5	3	8	53
01/10/2022	2,1	333	19,4	64	1012	218	0	1	1	3	0,1	2	8	4	12	54
02/10/2022	1,6	13	20	72	1013	213	0	1	1	3	0,1	2	5	2	8	57
03/10/2022	1,5	10	21,8	80	1007	150	0	2	1	3	0,1	2	8	6	12	54
04/10/2022	1,4	343	21,7	88	1007	100	0	3	2	3	0,1	4	11	8	17	44
05/10/2022	1,9	13	21,7	82	1010	168	0	2	2	3	0,1	2	7	6	10	52
06/10/2022	1,8	1	21,3	78	1011	121	0	2	2	4	0,1	3	9	8	13	45
07/10/2022	1,7	6	21,4	76	1007	188	0	3	2	3	0,1	2	7	11	10	52
08/10/2022	2,1	3	21,6	75	1004	169	0	3	2	4	0,1	2	5	11	8	58
09/10/2022	1,9	18	21,1	80	1004	171	0	3	2	3	0,1	2	4	9	6	60
10/10/2022	1,8	24	20,3	86	1004	158	23,4	4	3	3	0,1	2	5	8	8	57
11/10/2022	1,4	305	20,5	83	1004	106	0,1	2	2	4	0,1	3	7	4	11	47
12/10/2022	2	9	20,8	75	1007	162	0	3	2	3	0,1	2	4	4	6	57
13/10/2022	1,6	274	20,1	77	1010	190	0	3	3	3	0,1	2	7	7	10	55
14/10/2022	2	251	22,2	69	1008	190	0	3	3	4	0,1	3	14	9	19	51
15/10/2022	1,7	274	21,2	64	1003	183	0	3	2	4	0,1	2	9	8	12	54
16/10/2022	1,4	27	21,6	68	1004	158	0	3	3	4	0,1	2	8	13	12	58
17/10/2022	1,7	354	21,9	75	1009	153	0	5	3	4	0,2	4	11	23	16	51
18/10/2022	1,5	7	21,9	89	1011	162	0	8	6	3	0,1	3	8	17	12	50
19/10/2022	1	37	21,9	91	1006	146	0	9	7	3	0,1	5	9	22	16	50
20/10/2022	1,4	233	22,1	92	1003	96	0	10	8	4	0,1	4	10	18	16	46
21/10/2022	1,2	275	21,4	94	1003	94	0	13	11	3	0,1	4	14	22	19	37
22/10/2022	0,9	4	21	95	1003	75	0	9	8	4	0,1	2	11	16	14	31
23/10/2022	1,4	330	21,3	86	1003	139	0	7	6	4	0,1	2	8	16	11	38
24/10/2022	1,4	299	20,6	85	1005	136	0	6	5	3	0,1	5	13	16	21	26
25/10/2022	1,4	289	20,8	65	1005	132	0	4	3	4	0,1	5	17	30	25	29
26/10/2022	1,8	349	22,2	64	1007	121	0	6	4	3	0,2	4	16	32	22	35
27/10/2022	1,6	1	20,4	72	1010	149	0	6	5	3	0,1	2	11	19	14	54
28/10/2022	1,9	350	19,7	72	1011	150	0	5	4	4	0,1	3	11	16	15	55
29/10/2022	1,8	356	19,4	78	1009	138	0	6	6	3	0,1	2	6	13	9	63
30/10/2022	1,4	4	19,2	88	1007	117	0	6	5	4	0,1	2	4	10	7	57
31/10/2022	1,3	327	19,7	89	1007	103	0	7	7	3	0,1	3	11	13	16	46
01/11/2022	1,2	3	21,2	87	1009	141	0	9	8	3	0,1	2	7	15	10	50
02/11/2022	1,5	356	19,9	85	1009	139	0	7	6	4	0,1	2	9	16	13	47
