Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014008-Alacant - Florida Babel
	
FECHA	Veloc.	Direc.	Temp.	H.Rel.	R.Sol.	Precip.	PM2.5	SO2	NO	NO2	NOx	O3
30/03/2022	1,3	94	16,4	95	65	3,4	15	3	3	19	24	62
31/03/2022	4,4	275	17,8	67	203	0,2	9	4	3	10	14	76
01/04/2022	3,8	291	16,8	52	271	0	9	4	2	6	9	82
02/04/2022	2,9	304	13,7	47	296	0	8	4	2	4	7	89
03/04/2022	3,3	58	11,5	57	266	0	8	3	2	4	7	89
04/04/2022	5,1	78	12,7	78	65	0,8	9	3	2	4	7	94
05/04/2022	2	33	13,7	94	38	2,8	0	4	2	14	17	83
06/04/2022	2,5	260	14,6	78	217	0,4	7	3	4	19	24	76
07/04/2022	2,8	251	20,7	60	299	0	17	3	5	19	26	73
08/04/2022	4,6	252	22,7	57	286	0	14	3	2	9	13	68
09/04/2022	2,8	297	21,7	68	244	0	9	4	2	6	9	76
10/04/2022	3,4	87	17	92	278	0	6	3	2	3	6	81
11/04/2022	2,7	39	17,8	82	264	0	15	3	6	15	24	68
12/04/2022	1,1	152	17,5	94	81		11	3	5	17	25	65
13/04/2022	1,2	92	16	99	150		4	3	2	11	14	74
14/04/2022	2,6	21	19	68	191		10	3	2	4	7	95
15/04/2022	1,6	63	20,5	59	246	0	17	3	3	17	21	107
16/04/2022	1,4	193	20,2	75	297	0	16		2	24	28	
17/04/2022	1,5	189	19,6	80	307	0	13	5	4	20	26	
18/04/2022	1,3	120	19,5	75	303		10	3	2	14	17	
19/04/2022	2,1	91	18,5	91	258		10	3	2	19	23	
20/04/2022	3,1	262	14,1	91	124		6	3	2	16	19	78
21/04/2022	3,8	270	17,7	60	248	0	5	3	2	11	14	84
22/04/2022	1,2	209	17,1	75	148	0	12	3	4	26	33	54
23/04/2022	4,1	255	17,3	64	255	0,4	16	4	2	10	13	79
24/04/2022	2,5	220	17,7	71	334	0	7	3	2	9	12	85
25/04/2022	1,4	70	16,7	89	328	0	9	3	3	17	22	74
26/04/2022	2	46	17,4	72	232	0	13	3	3	17	22	80
27/04/2022	1,3	251	17,5	83	69	1,2	19	6	3	24	29	46
28/04/2022	0,8	310	15,7	98	45	2,4	8	3	2	14	17	54
29/04/2022	2,1	167	17,9	86	323	0	14	3	14	39	61	66
30/04/2022	1,6	136	19,4	78	311	0	14	3	4	28	34	78
01/05/2022	1,4	116	20	79	282	0	15	3	2	17	20	88
02/05/2022	2,5	85	19	93	233	0	12	3	2	14	17	102
03/05/2022	1,7	214	18,5	91	262	0	10	3	4	15	21	78
04/05/2022	1,9	11	17,9	95	45	3		3	2	9	12	81
05/05/2022	2,2	26	19,3	72	216	0	16	4	2	10	13	82
06/05/2022	1,7	106	18,1	87	331	0	15	3	4	14	21	72
07/05/2022	1,6	194	19,1	81	327	0	14	3	4	17	23	68
08/05/2022	1,4	200	19,7	74	335	0	11	3	2	9	12	76
09/05/2022	1,5	38	20,2	70	340	0	13	4	2	14	17	83
10/05/2022	1,7	325	19,7	74	341	0	15	3	3	13	17	80
11/05/2022	1,7	139	20,2	79	344	0	15	3	3	12	16	71
12/05/2022	1,7	100	20,9	82	345	0	15	3	2	11	13	73
13/05/2022	1,5	92	20,4	91	329	0	16	3	1	9	10	73
14/05/2022	1,2	114	21,9	74	329	0	16	3	1	8	9	73
15/05/2022	1,6	139	21,7	79	321	0	12	3	1	3	4	82
16/05/2022	1,3	107	22	93	320	0	18	3	1	10	10	66
17/05/2022	1,5	146	22,3	95	330	0	14	3	1	8	8	62
18/05/2022	1,3	87	23,1	91	335	0	14	4	1	7	8	58
19/05/2022	2,6	66	25,4	68	339	0	28	4	1	9	11	73
20/05/2022	2,3	68	26,7	65	332	0	44	3	2	10	12	82
21/05/2022	2	61	25,6	66	347	0	18	5	1	7	9	89
22/05/2022	1,5	152	24	73	277	0	16	4	1	7	8	92
23/05/2022	2,5	229	27,4	66	345	0	32	3	1	5	7	80
24/05/2022	2,1	112	23,3	93	306	0	13	5	1	4	6	81
25/05/2022	2,5	292	21,9	69	350	0	11	3	1	2	4	80
26/05/2022	2	183	23,1	70	353	0	17	3	1	8	10	72
27/05/2022	1,7	140	23,7	77	351	0	14	3	2	10	13	73
28/05/2022	1,4	196	25,5	73	350	0	16	3	1	12	13	69
29/05/2022	2,2	178	27,8	68	320	0	23	3	1	4	6	83
30/05/2022	1,7	206	27,1	76	293	0	19	4	1	9	10	69
31/05/2022	1,8	115	24,8	97	338	0	11	4	1	4	5	86
01/06/2022	1,8	141	24	96	327	0	11	3	1	4	5	73
02/06/2022	1,8	132	23	96	310	0	12	3	3	7	11	68
03/06/2022	1,8	99	24,5	97	332	0	10	5	1	3	4	76
04/06/2022	1,8	103	24,2	89	345	0	10	6	1	3	5	76
05/06/2022	1,5	138	26,1	70	337	0	16	6	1	6	8	68
06/06/2022	1,9	164	25,1	79	357	0	16	4	2	9	11	72
07/06/2022	1,7	133	25,6	81	346	0	18	4	2	8	11	74
08/06/2022	1,5	128	25,8	85	289	0	18	5	1	10	12	75
09/06/2022	2,1	101	26,2	94	348	0	10	4	1	4	6	69
10/06/2022	1,8	153	25,4	93	352	0	8	3	1	6	8	49
11/06/2022	1,8	131	25,6	83	360	0	10	3	1	8	9	50
12/06/2022	1,5	107	26,3	65	348	0	11	3	3	13	17	57
13/06/2022	1,5	117	26,2	67	336	0	16	3	2	13	15	57
14/06/2022	1,9	82	27,6	76	328	0	11	3	2	9	12	70
15/06/2022	1,5	110	29,8	73	299	0	17	3	2	13	16	68
16/06/2022	1,5	40	30,5	57	326	0	22	3	3	12	16	71
17/06/2022	1,3	69	30,9	46	343	0	22	3	2	17	19	59
18/06/2022	1,7	86	30,9	50	342	0	18	3	1	8	10	78
19/06/2022	1,9	133	28	85	314	0	11	3	1	3	5	84
20/06/2022	1,9	102	27,2	95	282	0	7	3	1	5	7	64
21/06/2022	1,6	120	27,1	94	166	0		3	1	7	8	56
22/06/2022	2	171	26,2	82	359	0	13	3	1	10	12	58
23/06/2022	2,3	172	26	76	368	0	9	3	1	7	8	66
24/06/2022	1,8	171	26,8	73	350	0	14	3	1	10	11	68
25/06/2022	1,8	125	24,9	87	366	0	12	3	1	7	9	74
26/06/2022	2	118	25	95	344	0	6	3	1	2	4	80
27/06/2022	1,9	98	26,2	94	332	0	7	3	1	2	4	82
28/06/2022	1,9	127	26,2	90	357	0	8	3	1	5	6	65
29/06/2022	1,8	143	26,4	88	353	0	11	3	1	6	8	57
30/06/2022	2	173	25,4	94	344	0	8	3	1	5	7	66
01/07/2022	3,3	79	26,4	92	328	0	11	3	1	2	4	76
02/07/2022	2,6	85	26,7	84	320	0	14	3	1	3	4	77
03/07/2022	1,7	141	27,2	84	287	0	9	3	1	2	3	83
04/07/2022	1,8	121	27,7	93	296	0	7	3	1	4	5	70
05/07/2022	2,3	111	27,7	97	224	0	6	3	1	3	4	60
06/07/2022	3,4	90	29	89	298	0	11	3	1	3	5	89
07/07/2022	1,9	110	27,8	85	321	0	12	3	2	11	14	82
08/07/2022	1,7	164	27,1	82	329	0	12	3	1	8	9	80
09/07/2022	1,9	55	27,6	79	331	0	11	3	1	5	7	90
10/07/2022	1,7	85	27,6	82	330	0	11	3	1	3	5	91
11/07/2022	1,3	66	28,9	58	324	0	14	4	1	9	10	83
12/07/2022	1,4	109	29,2	58	329	0	13	3	1	8	10	85
13/07/2022	1,4	157	29,2	58	331	0	17	3	1	10	11	77
14/07/2022	1,5	124	29,5	68	313	0	19	3	2	9	12	68
15/07/2022	1,4	107	28,9	62	325	0	17	3	1	10	12	70
16/07/2022	1,3	134	29,6	58	319	0	17	3	1	8	9	76
17/07/2022	1,5	64	29,4	66	323	0	16	4	1	4	5	92
18/07/2022	1,5	75	29,1	70	324	0	22	3	1	7	8	84
19/07/2022	1,5	129	29	73	312	0	26	3	2	9	11	71
20/07/2022	2,1	80	29,3	84	316	0	10	3	1	4	5	56
21/07/2022	1,6	46	30,3	82	318	0	16	3	2	11	13	59
22/07/2022	1,6	150	29,4	80	314	0	15	3	1	11	13	58
23/07/2022	1,3	153	28,8	87	305	0	11	3	1	6	7	48
24/07/2022	1,5	173	29,2	83	310	0	13	3	1	7	9	51
25/07/2022	1,4	127	31,3	81	289	0	18	3	3	14	19	59
26/07/2022	2,6	104	30,6	93	280	0	11	3	1	4	5	62
27/07/2022	2	105	30,7	92	262	0	7	3				56
28/07/2022	1,8	106	30,5	90	284	0	10	3	1	4	5	60
29/07/2022	2,2	100	30,9	90	273	0	8	3	1	2	3	68
30/07/2022	3	78	30,8	89	254	0	8	4	1	2	3	64
31/07/2022	2,8	73	30,8	86	293	0	9	3	1	2	3	83
01/08/2022	1,6	109	30,5	86	303	0	8	3	1	2	3	81
02/08/2022	1,6	185	30,7	75	304	0	12	3	1	3	4	67
03/08/2022	1,6	178	30,8	67	308	0	15	3	1	3	4	70
04/08/2022	1,4	56	30,5	69	290	0	15	3	2	9	12	67
05/08/2022	2	55	30,4	70	305	0		3	1	5	6	73
06/08/2022	1,7	55	30,2	69	300	0		3	1	4	5	77
07/08/2022	1,7	148	29,8	74	304	0		3	1	6	8	69
08/08/2022	1,9	66	29,7	84	300	0		3	1	12	13	70
09/08/2022	2,3	58	30,6	75	294	0		3	1	4	6	83
10/08/2022	2,7	56	30,8	73	283	0		3	1	4	5	85
11/08/2022	2,2	39	30,2	67	290	0		3	1	5	6	82
12/08/2022	1,6	171	30,1	70	266	0		3	1	9	10	68
13/08/2022	3,2	266	36,6	42	203	0		3	1	4	6	83
14/08/2022	1,5	201	32	62	211	0		3	1	6	8	71
15/08/2022	2,1	109	30,2	76	288	0		3	1	4	6	86
16/08/2022	1,6	158	28,7	79	268	0		3	1	8	9	83
17/08/2022	1,9	109	29,7	80	271	0	21	3	1	11	13	82
18/08/2022	2	92	29,4	74	264	0	19	3	1	7	9	83
19/08/2022	1,9	211	29,2	80	282	0	11	3	1	6	7	78
20/08/2022	1,7	171	29	82	280	0	12	3	1	6	8	67
21/08/2022	1,7	176	29,5	87	267	0	13	3	1	6	7	66
22/08/2022	2,2	78	30,2	91	273	0	8	3	1	3	4	73
23/08/2022	1,4	89	30	88	270	0	7	3	2	8	10	50
24/08/2022	1,5	96	30	82	252	0	10	3	1	7	8	50
25/08/2022	2	82	30,2	87	243	0	10	3	1	6	8	53
26/08/2022	2,4	45	30,3	82	266	0	10	4	1	4	5	66
27/08/2022	2	74	29,8	80	262	0	9	3	1	4	5	84
28/08/2022	2,7	58	30	87	262	0	7	3	1	2	3	87
29/08/2022	1,6	95	30	83	184	0	13	3	1	8	10	68
30/08/2022	1,5	265	30,6	88	191	0	13	3	1	10	11	50
31/08/2022	2,3	207	31,6	77	242	0,2	20	3	2	12	15	55
01/09/2022	1,9	103	29,7	92	230	0	12	3	1	8	9	58
02/09/2022	1,6	199	31,4	71	202	0	19	3	2	13	16	59
03/09/2022	1,6	120	29,4	67	198	0	17	3	3	14	18	59
04/09/2022	1,5	102	28,6	90	253	0	9	3	1	6	7	66
05/09/2022	1,4	96	28,9	90	257	0	11	3	1	8	10	72
06/09/2022	1,3	189	28,3	84	244	0	16	3	4	15	20	66
07/09/2022	1,3	149	28,9	70	252	0	21	4	2	19	22	67
08/09/2022	1,4	208	29,3	67	255	0	21	3	4	21	27	60
09/09/2022	1,4	66	28,1	79	255	0	16	3	2	13	16	67
10/09/2022	1,4	82	28,5	82	253	0	10	3	1	7	8	63
11/09/2022	1,3	67	27,7	90	243	0	8	3	1	3	4	58
12/09/2022	1,9	74	29,7	86	213	0	18	3	5	9	16	55
13/09/2022	2,3	103	30,7	92	57	0	9	3	1	6	7	54
14/09/2022	1,2	243	29,7	81	84	0	13	3	2	12	15	42
15/09/2022	1,5	241	28,6	72	223	0	17	3	4	18	24	58
16/09/2022	1,7	173	28,2	80	233	0	12	3	5	15	23	60
17/09/2022	2,7	62	27,6	87	211	0	11	3	1	6	8	70
18/09/2022	4,5	77	27,8	85	209	5,1		3	1	2	3	86
19/09/2022	2,3	52	27,1	79	238	0	17	3	1	7	9	72
20/09/2022	1,5	32	26,7	85	229	0	17	3	2	9	12	62
21/09/2022	0,9	330	26,6	86	93	0	6	3	2	11	14	60
22/09/2022	1,4	240	26,4	87	178	0,2	10	3	5	16	24	53
23/09/2022	1,5	251	26,4	88	203	0	7	3	1	9	11	63
24/09/2022	1,4	323	26,5	86	197	1,5	10	3	1	12	14	61
25/09/2022	2,6	64	25,9	88	141	1,5	5	3	1	2	4	73
26/09/2022	2	13	24,3	85	212	0	5	3	1	6	8	72
27/09/2022	2,7	264	25,9	61	241	3,1	12	3	1	11	13	58
28/09/2022	2,5	264	26,7	50	231	0	16	3	3	10	15	64
29/09/2022	3,2	267	25,3	54	144	0	14	3	2	7	9	62
30/09/2022	2,1	281	22,1	65	206	0	11	3	1	8	10	57
01/10/2022	1,5	262	21,9	73	230	0	10	3	1	11	13	56
02/10/2022	1,3	17	22	81	222	0	5	3	1	6	8	66
03/10/2022	1,4	18	24,5	89	162	0	6	3	1	9	10	61
04/10/2022	1	309	25,4		114	0	8	3	2	11	15	50
05/10/2022	1,5	18	25,2	90	184	0	7	3	1	5	7	59
06/10/2022	1,6	337	24,7	87	124	0	8	3	1	5	6	48
07/10/2022	1,6	7	23,8	84	197	0	10	3	1	3	4	54
08/10/2022	1,8	13	23,4	85	178	0	10	3	1	2	3	59
09/10/2022	2	24	23,1	88	178	0	6	3	1	2	3	71
10/10/2022	1,6	16	23,3	92	160	11,2		3	1	2	3	64
11/10/2022	1	278	23,9		143	0,2	6	3				49
12/10/2022	2	11	24	83	188	0	6	3				61
13/10/2022	1,4	254	23,4	84	194	0	10	3				56
14/10/2022	1,2	237	24,3	81	178	0	12	3	2	12	16	46
15/10/2022	1,2	242	23,1	77	187	0	13	3	2	16	20	52
16/10/2022	1	67	22,9	80	162	0	11	3	2	13	16	62
17/10/2022	1,4	311	23,8	83	164	0	30	3	9	23	37	54
18/10/2022	1,5	49	23,8	96	166	0	10	3	3	11	15	57
19/10/2022	1	72	23,5	97	157	0	10	3	4	10	16	55
20/10/2022	1,1	227	24,1	97	109	0	11	3	3	9	13	47
21/10/2022	0,8	248	23,6	98	104	0	13	3	3	12	16	41
22/10/2022	0,6	0	23,1	99	85	0	9	3	1	9	11	37
23/10/2022	0,9	240	23,2	94	145	0	12	3	1	5	7	40
24/10/2022	0,9	262	22,6	96	139	0	13	3	2	10	14	26
25/10/2022	0,7	263	22,2	83	136	0	21	3	4	17	22	26
26/10/2022	1,1	298	23,3	77	130	0	31	3	6	18	27	34
27/10/2022	0,9	304	22,4	83	154	0	20	3	2	15	18	52
28/10/2022	1,2	305	21,5	84	151	0	15	3	2	15	18	53
29/10/2022	1,7	327	21,3	88	143	0	13	3	1	7	9	67
30/10/2022	1,1	344	21,2	94	128	0	10	3	1	5	6	66
31/10/2022	0,8	274	21,7	95	107	0	10	3	1	12	14	51
01/11/2022	1	356	22,5	96	146	0	12	3	1	7	8	56
02/11/2022	1,1	284	21,8	93	141	0	12	3	3	12	15	51
03/11/2022	1,8	244	22,4	84	99	0	17	3	2	11	14	
04/11/2022	3,6	278	22,9	51	136	0	27	3	1	7	9	
05/11/2022	1,6	269	18,3	59	150	0	11	3	1	9	11	45
06/11/2022	1,8	246	18,9	72	145	0	11	3	1	7	8	46
07/11/2022	1,3	297	19,3	79	141	0	33	3	2	12	15	47
08/11/2022	1,2	258	19	90	118	0	16	3	3	17	21	31
09/11/2022	1,6	249	21	73	118	0	13	3	1	9	11	38
10/11/2022	2	328	19,7	75	130	0	8	3	2	8	11	48
11/11/2022	2,3	24	19	93	59	5,1	4	3	1	6	7	56
12/11/2022	3,5	78	21,8	93	121	0	5	3	1	2	3	76
13/11/2022	1	319	19,7	92	127	0	6	3	1	5	6	45
14/11/2022	1,4	253	20,2	91	128	0	9	3	2	10	13	30
15/11/2022	1	248	20,6	82	92	0	12	3	5	17	25	18
16/11/2022	2,6	249	21,3	78	52	0,6	6	3	3	7	11	37
17/11/2022	3,5	248	23	68	120	0,2	11	3	1	6	7	40
18/11/2022	2,9	262	18,5	73	27	0,2	6	3	1	5	6	47
19/11/2022	5,7	274	16,1	52	122	0,2	13	3	1	2	3	71
20/11/2022	4	274	17,8	58	123	0	5	3	1	3	4	64
21/11/2022	3,6	237	18,9	72	84	0,8	72	3	1	7	8	45
22/11/2022	3,7	250	17	60	71	0	6	3	1	4	5	63
23/11/2022	3,2	234	21,5	69	73	0	8	3	1	5	7	43
24/11/2022	1	233	19,8	85	111	0	7	3	4	15	21	27
25/11/2022	2,9	279	19,7	66	95	0	10	3	1	7	9	44
26/11/2022	1	249	15,5	67	111	0	11	3	1	8	10	37
27/11/2022	1,2	257	14,2	85	114	0	11	3	1	4	6	41
28/11/2022	3,8	276	16,9	61	112	0	20	3	1	2	4	59
29/11/2022	1,4	275	16,3	58	108	0	11	3	2	9	12	46
30/11/2022	1,1	271	15	76	96	0	13	3	3	11	16	34
01/12/2022	1,2	333	14,8	85	35	0	10	3	1	9	11	38
02/12/2022	1,6	43	14,9	88	49	0	4	3	1	6	7	53
03/12/2022	0,9	271	14,4	86	79	0	10	3	1	11	13	39
04/12/2022	0,5	299	14,8	96	79	0,4	11	3	1	9	11	33
05/12/2022	1,3	327	16,2	91	95	0	11	3	2	13	15	34
06/12/2022	0,6	285	16,7	97	65	0,4	8	3	1	10	12	33
07/12/2022	0,6	285	16,9	96	86	0	13	3	7	19	29	23
08/12/2022	0,3	282	16,1	99	56	0	9	3	1	13	15	33
09/12/2022	0,5	227	16,9	94	41	0	13	3	7	24	35	17
10/12/2022	3,8	267	18,1	73	83	0	6	3	1	6	8	63
11/12/2022	0,6	272	14,9	93	35	1,5	7	3	3	11	16	32
12/12/2022	0,4	228	17,5	94	64	0	12	3	18	31	58	11
13/12/2022	0,5	224	19,3	96	43	0	9	3	25	33	71	9
14/12/2022	1,3	238	20,1	86	56	0,2	8	3	6	24	34	28
15/12/2022	1	246	16,5	90	57	1,9	8	3	9	25	39	23
16/12/2022	1,7	247	15,3	83	79	0	7	3	5	19	26	37
17/12/2022	1,1	292	15	94	97	10,9	7	3	3	16	20	29
18/12/2022	0,8	289	14,3	97	94	0,2	9	3	4	13	19	28
19/12/2022	0,8	327	14,6	98	84	0	12	3	5	18	26	35
20/12/2022	1,2	253	13,9	96	92	0	16	3	10	26	42	19
21/12/2022	2,8	265	18,2	76	88	0	6	3	3	16	19	43
22/12/2022	3	279	19,7	71	97	0	4	4	1	9	11	56
23/12/2022	1,3	233	18,9	80	98	0	10	3	16	26	51	29
24/12/2022	0,7	269	16,6	91	96	0	18	3	16	29	54	16
25/12/2022	0,5	274	15	94	96	0	19	3	7	20	30	21
26/12/2022	0,6	272	15,1	85	93	0	28	3	20	34	65	17
27/12/2022	0,9	264	14,4	87	95	0	19	3	14	29	50	18
28/12/2022	0,7	272	13,4	94	91	0	19	3	12	26	44	20
29/12/2022	1,4	260	14,9	75	87	0	15	4	9	29	42	20
30/12/2022	2,2	249	17,9	64	98	0	11	3	1	16	18	39
31/12/2022	1	257	16,2	71	89	0	15	3	5	18	25	32
